inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数,class
89155,119,50113,2020-08-25 15:04:25,2020-10-1318:23:00,2020-09-2023:25:49,1,18
68320,1044,38715,2022-11-07 18:34:41,2023-02-1509:29:07,2022-12-0121:07:35,1,10
97,762,19,2020-12-16 19:56:32,2021-04-2418:24:56,2021-01-0516:43:53,1,0
37070,365,23298,2024-05-25 16:12:36,2024-05-2516:15:23,,0,8
85057,440,47686,2022-08-11 12:18:00,2022-10-2416:50:54,2022-10-0520:01:32,2,18
24622,58,14595,2021-02-28 17:41:15,2021-03-1008:35:23,,0,5
48102,343,28972,2023-11-27 17:32:02,2024-01-0717:58:49,2023-12-1721:26:24,1,8
66459,677,37533,2023-11-24 21:37:26,2024-01-1716:41:12,,0,10
737,658,399,2024-06-14 14:17:19,2024-09-2608:52:46,2024-08-2411:42:21,1,1
69947,1182,39841,2023-11-06 19:20:00,2023-11-2116:19:40,,0,10
73651,472,41891,2024-03-24 18:03:14,2024-03-2817:22:40,,0,13
17543,785,10225,2021-03-19 13:33:07,2021-04-1521:49:53,,0,3
61626,886,34228,2020-09-18 10:15:23,2020-09-2008:15:48,,0,9
23042,916,13652,2021-01-05 18:21:17,2021-01-1211:33:58,,0,5
55169,1385,30725,2023-06-30 11:02:32,2023-08-3114:29:07,2023-08-2418:54:31,1,8
35695,311,22519,2022-06-15 21:23:44,2022-06-2609:32:10,,0,8
47575,75,28564,2020-10-13 13:26:50,2021-01-0813:42:01,2020-12-1219:04:04,2,8
12487,1081,7023,2024-02-26 14:36:28,2024-03-0119:13:53,,0,2
20520,1300,12081,2020-05-09 10:19:15,2020-06-0308:02:57,,0,3
14166,482,8104,2024-07-02 11:25:15,2024-07-1309:06:17,,0,3
13441,1331,7639,2022-11-18 13:18:47,2022-11-2121:44:40,,0,3
19684,1299,11536,2020-05-29 11:29:14,2020-07-0815:12:40,,0,3
78766,1191,44087,2024-12-11 19:04:07,,,0,13
89523,912,50293,2021-07-18 17:00:34,2021-10-2121:34:55,,0,18
42448,661,24369,2022-12-02 08:20:23,2022-12-1111:26:40,,0,8
33750,958,21182,2021-01-18 17:03:33,2021-05-1719:28:05,2021-04-1222:35:48,2,7
4902,1331,2346,2021-04-25 10:00:13,2021-04-2620:15:43,,0,1
95759,353,53779,2021-07-06 21:58:05,2021-08-0315:06:20,,0,18
11770,83,6610,2020-08-29 11:25:02,2020-09-2112:22:03,,0,2
2026,536,1195,2024-03-24 09:20:03,2024-03-2417:27:22,,0,1
19986,1332,11673,2021-01-23 20:37:39,2021-03-0311:37:23,,0,3
18866,1299,10971,2021-02-01 20:57:15,2021-03-2017:18:31,,0,3
17791,1331,10368,2020-12-26 11:34:57,2021-01-1218:37:04,,0,3
48050,318,28815,2024-05-27 16:22:01,2024-06-1809:25:45,,0,8
80025,896,44670,2020-11-24 17:37:19,2021-01-2008:24:07,2021-01-1915:45:51,2,13
3375,451,1950,2024-11-11 16:48:41,,2024-12-0908:42:12,1,1
50793,272,29813,2021-10-18 18:58:51,2021-11-1011:47:56,2023-02-1921:41:46,1,8
44812,1266,26821,2022-04-19 20:02:42,2022-06-0821:32:19,2022-05-1610:28:11,1,8
46872,1308,28207,2022-04-21 20:40:15,2022-07-0514:28:25,2022-06-1817:22:27,2,8
34469,412,21641,2021-11-29 08:10:11,2021-11-2908:11:54,,0,8
63131,943,35227,2020-09-20 16:51:47,2020-09-2608:02:55,,0,9
26001,171,15575,2021-10-17 21:21:45,2021-10-1721:22:24,,0,5
75752,314,42619,2022-03-01 17:29:47,2022-06-1109:29:27,2022-05-1408:38:41,2,13
24967,1166,14837,2024-04-03 18:41:04,2024-09-0316:06:24,2024-11-0120:04:57,2,5
16019,287,9344,2023-03-02 21:53:27,2023-04-2721:43:04,2023-04-2113:55:02,2,3
12361,646,6945,2023-11-02 09:56:01,2023-11-2109:46:02,,0,2
29311,1299,17924,2020-12-04 08:43:03,2020-12-1313:35:49,,0,6
96336,34,54124,2021-11-30 11:43:59,2022-02-1915:37:30,2021-12-2713:28:58,1,18
33983,822,21362,2021-09-01 16:49:01,2021-10-0112:13:54,,0,7
86405,1031,48579,2024-12-03 21:49:59,,,0,18
38018,73,23942,2021-03-19 22:03:47,2021-06-1618:56:34,2021-05-1508:35:56,2,8
57433,287,32293,2022-01-03 21:44:02,2022-06-1120:46:46,,0,8
87359,472,49101,2024-03-09 17:31:53,2024-03-1021:48:24,,0,18
93420,1397,52409,2023-12-11 16:05:16,2023-12-1116:43:49,,0,18
54150,420,30646,2023-09-28 10:16:50,2023-11-2709:39:35,2023-10-2220:23:37,1,8
81740,622,45542,2023-08-18 19:36:15,2023-09-1516:11:00,,0,13
80853,1131,45081,2024-05-28 21:09:11,2024-09-2715:11:29,2024-08-2521:33:45,1,13
13517,1331,7659,2021-03-21 08:30:18,2021-03-2811:11:42,,0,3
9426,815,5388,2022-05-16 20:12:59,2022-05-2316:03:55,,0,1
6484,1267,3616,2021-10-13 14:52:31,2021-12-2816:06:20,,0,1
12373,210,6953,2021-06-06 15:56:33,2021-06-1420:32:10,,0,2
431,75,218,2021-12-18 12:55:52,2022-04-1015:17:34,2024-09-2009:34:38,0,0
48430,579,28610,2023-04-07 15:34:39,2023-04-1313:25:53,,0,8
71140,960,40520,2022-04-25 18:28:43,2022-04-2918:49:04,,0,10
23968,789,14222,2020-12-08 17:23:57,2021-01-0116:40:11,,0,5
6297,1252,3515,2024-09-19 21:57:39,2024-10-2415:12:38,,0,1
34229,960,21401,2022-09-07 13:58:34,2022-09-1313:42:41,,0,8
95282,838,53485,2020-12-04 20:22:21,2021-01-0318:14:20,2020-12-2714:05:08,1,18
65161,794,36684,2020-12-01 14:31:20,2021-03-2413:15:46,,0,9
99998,1231,56486,2024-09-30 18:11:29,2024-11-1613:04:41,,0,18
37713,365,23749,2024-05-26 14:49:21,2024-05-2614:52:49,,0,8
31462,365,19534,2024-05-29 16:08:19,2024-05-2916:10:52,,0,7
